### Countries start here
YEAR: 1931
CREATE: (Region) "Thailand"
DEFINE: {Population:12729988}
.: {Development:8.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:SIA}
CREATE: (Region) "Taiwan"
DEFINE: {Population:4614000}
.: {Development:8.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Burma"
DEFINE: {Population:14888951}
.: {Development:8.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Hong Kong"
DEFINE: {Population:842151}
.: {Development:20.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Malaysia"
DEFINE: {Population:4526692}
.: {Development:8.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Singapore"
DEFINE: {Population:611354}
.: {Development:20.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Sri Lanka"
DEFINE: {Population:5854030}
.: {Development:6.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Vietnam"
DEFINE: {Population:20970065}
.: {Development:18.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:FRA}
CREATE: (Region) "Afghanistan"
DEFINE: {Population:6260433}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:AFG}
CREATE: (Region) "Cambodia"
DEFINE: {Population:3393899}
.: {Development:18.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:FRA}
CREATE: (Region) "Laos"
DEFINE: {Population:1431647}
.: {Development:18.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:FRA}
CREATE: (Region) "China"
DEFINE: {Population:489000000}
.: {Development:4.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "North China"
DEFINE: {Population:61360872}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:QIN}
CREATE: (Region) "Northeast China"
DEFINE: {Population:40881342}
.: {Development:8.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:RUS}
CREATE: (Region) "East China"
DEFINE: {Population:141778528}
.: {Development:15.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NRC}
CREATE: (Region) "South Central China"
DEFINE: {Population:142570198}
.: {Development:13.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:GXI}
CREATE: (Region) "Yunnan"
DEFINE: {Population:66068128}
.: {Development:10.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:YUN}
CREATE: (Region) "Tibet"
DEFINE: {Population:5146381}
.: {Development:2.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:TIB}
CREATE: (Region) "Northwest China"
DEFINE: {Population:35978925}
.: {Development:8.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:QIN}
CREATE: (Region) "Mongolia"
DEFINE: {Population:515256}
.: {Development:2.0}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:RUS}
CREATE: (Region) "Algeria"
DEFINE: {Population:6750388}
.: {Development:10.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:FRA}
CREATE: (Region) "Angola"
DEFINE: {Population:3053199}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Benin"
DEFINE: {Population:1240273}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Botswana"
DEFINE: {Population:319150}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Burkina Faso"
DEFINE: {Population:3244910}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Burundi"
DEFINE: {Population:1751802}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Cameroon"
DEFINE: {Population:3624133}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Cape Verde"
DEFINE: {Population:108557}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Central African Republic"
DEFINE: {Population:934149}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Chad"
DEFINE: {Population:1933652}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Comoro Islands"
DEFINE: {Population:109784}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "te d'Ivoire"
DEFINE: {Population:2171220}
.: {Development:20.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:FRA}
CREATE: (Region) "Djibouti"
DEFINE: {Population:44516}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Egypt"
DEFINE: {Population:16122963}
.: {Development:18.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Equatorial Guinea"
DEFINE: {Population:156607}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Eritrea and Ethiopia"
DEFINE: {Population:16528372}
.: {Development:10.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ETH}
CREATE: (Region) "Gabon"
DEFINE: {Population:308290}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Gambia"
DEFINE: {Population:201219}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Ghana"
DEFINE: {Population:3928045}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Guinea"
DEFINE: {Population:1917146}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Guinea Bissau"
DEFINE: {Population:425076}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Kenya"
DEFINE: {Population:4538838}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Lesotho"
DEFINE: {Population:538462}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Liberia"
DEFINE: {Population:610908}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Libya"
DEFINE: {Population:730953}
.: {Development:10.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ITA}
CREATE: (Region) "Madagascar"
DEFINE: {Population:3426039}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Malawi"
DEFINE: {Population:2088500}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Mali"
DEFINE: {Population:2734383}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Mauritania"
DEFINE: {Population:745645}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Mauritius"
DEFINE: {Population:356860}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Mozambique"
DEFINE: {Population:4756168}
.: {Development:10.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:POR}
CREATE: (Region) "Namibia"
DEFINE: {Population:343854}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Niger"
DEFINE: {Population:2425490}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Nigeria"
DEFINE: {Population:24184750}
.: {Development:12.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Reunion"
DEFINE: {Population:180703}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Rwanda"
DEFINE: {Population:1808833}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Sao Tome"
DEFINE: {Population:44290}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Senegal"
DEFINE: {Population:1967663}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Seychelles"
DEFINE: {Population:24397}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Sierra Leone"
DEFINE: {Population:1547544}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Somalia"
DEFINE: {Population:1807718}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Sudan"
DEFINE: {Population:5969902}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Swaziland"
DEFINE: {Population:205679}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Tanzania"
DEFINE: {Population:5883720}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Togo"
DEFINE: {Population:868958}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Tunisia"
DEFINE: {Population:2608000}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Uganda"
DEFINE: {Population:4094365}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Zaire"
DEFINE: {Population:10061192}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Zambia"
DEFINE: {Population:1893041}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Zimbabwe"
DEFINE: {Population:2115602}
.: {Development:10.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Modifier) "Britannia Rule the Waves"
DEFINE: {Target:ENG}
DEFINE: {Quality:1.0}
DEFINE: {Effort:100.0}
DEFINE: {Stab:0.5}
DEFINE: {TXP:5.0}
DEFINE: {IC:5.0}
END
